account_id,time,default_rate,r12_gdp_bl,r12_gdp_st
400293,2005,,0.8475649,0.8475649
400293,2006,,3.807042,3.807042
400293,2007,,3.335074,3.335074
400293,2008,0.0058,0.8056425,0.8056425
400293,2009,0.0164649,-5.223765,-5.223765
400293,2010,0.0001,3.786477,3.786477
400293,2011,0.016537,3.344833,3.344833
400293,2012,0.013581,0.8923269,0.8923269
400293,2013,0.02014,0.5314357,0.5314357
400293,2014,,1.744751,-0.8668542
400293,2015,,1.953805,-1.751212
400293,2016,,1.777671,0.3236178
400293,2017,,1.697906,1.716037
400293,2018,,1.790401,1.769894
400293,2019,,1.601768,1.604487
400293,2020,,1.494786,1.494678
400564,2005,,0.8475649,0.8475649
400564,2006,,3.807042,3.807042
400564,2007,0.0042915,3.335074,3.335074
400564,2008,0.0027291,0.8056425,0.8056425
400564,2009,0.0442897,-5.223765,-5.223765
400564,2010,0.062035,3.786477,3.786477
400564,2011,0.039,3.344833,3.344833
400564,2012,,0.8923269,0.8923269
400564,2013,,0.5314357,0.5314357
400564,2014,,1.744751,-0.8668542
400564,2015,,1.953805,-1.751212
400564,2016,,1.777671,0.3236178
400564,2017,,1.697906,1.716037
400564,2018,,1.790401,1.769894
400564,2019,,1.601768,1.604487
400564,2020,,1.494786,1.494678
400645,2005,,0.8475649,0.8475649
400645,2006,,3.807042,3.807042
400645,2007,0.0133,3.335074,3.335074
400645,2008,0.0121655,0.8056425,0.8056425
400645,2009,0.0252318,-5.223765,-5.223765
400645,2010,0.011,3.786477,3.786477
400645,2011,0.014259,3.344833,3.344833
400645,2012,,0.8923269,0.8923269
400645,2013,,0.5314357,0.5314357
400645,2014,,1.744751,-0.8668542
400645,2015,,1.953805,-1.751212
400645,2016,,1.777671,0.3236178
400645,2017,,1.697906,1.716037
400645,2018,,1.790401,1.769894
400645,2019,,1.601768,1.604487
400645,2020,,1.494786,1.494678
401029,2005,,0.8475649,0.8475649
401029,2006,,3.807042,3.807042
401029,2007,0.005,3.335074,3.335074
401029,2008,,0.8056425,0.8056425
401029,2009,0.0465655,-5.223765,-5.223765
401029,2010,0.007051,3.786477,3.786477
401029,2011,0.005081,3.344833,3.344833
401029,2012,0.0074,0.8923269,0.8923269
401029,2013,,0.5314357,0.5314357
401029,2014,,1.744751,-0.8668542
401029,2015,,1.953805,-1.751212
401029,2016,,1.777671,0.3236178
401029,2017,,1.697906,1.716037
401029,2018,,1.790401,1.769894
401029,2019,,1.601768,1.604487
401029,2020,,1.494786,1.494678
401074,2005,,0.8475649,0.8475649
401074,2006,,3.807042,3.807042
401074,2007,,3.335074,3.335074
401074,2008,,0.8056425,0.8056425
401074,2009,,-5.223765,-5.223765
401074,2010,,3.786477,3.786477
401074,2011,,3.344833,3.344833
401074,2012,,0.8923269,0.8923269
401074,2013,0.009457,0.5314357,0.5314357
401074,2014,,1.744751,-0.8668542
401074,2015,,1.953805,-1.751212
401074,2016,,1.777671,0.3236178
401074,2017,,1.697906,1.716037
401074,2018,,1.790401,1.769894
401074,2019,,1.601768,1.604487
401074,2020,,1.494786,1.494678
401189,2005,,0.8475649,0.8475649
401189,2006,,3.807042,3.807042
401189,2007,0.0028756,3.335074,3.335074
401189,2008,0.0060324,0.8056425,0.8056425
401189,2009,,-5.223765,-5.223765
401189,2010,,3.786477,3.786477
401189,2011,,3.344833,3.344833
401189,2012,,0.8923269,0.8923269
401189,2013,,0.5314357,0.5314357
401189,2014,,1.744751,-0.8668542
401189,2015,,1.953805,-1.751212
401189,2016,,1.777671,0.3236178
401189,2017,,1.697906,1.716037
401189,2018,,1.790401,1.769894
401189,2019,,1.601768,1.604487
401189,2020,,1.494786,1.494678
401202,2005,,0.8475649,0.8475649
401202,2006,,3.807042,3.807042
401202,2007,,3.335074,3.335074
401202,2008,,0.8056425,0.8056425
401202,2009,,-5.223765,-5.223765
401202,2010,,3.786477,3.786477
401202,2011,,3.344833,3.344833
401202,2012,0.023932,0.8923269,0.8923269
401202,2013,0.029822,0.5314357,0.5314357
401202,2014,,1.744751,-0.8668542
401202,2015,,1.953805,-1.751212
401202,2016,,1.777671,0.3236178
401202,2017,,1.697906,1.716037
401202,2018,,1.790401,1.769894
401202,2019,,1.601768,1.604487
401202,2020,,1.494786,1.494678
401254,2005,,0.8475649,0.8475649
401254,2006,,3.807042,3.807042
401254,2007,0.0035,3.335074,3.335074
401254,2008,0.0040123,0.8056425,0.8056425
401254,2009,0.0142114,-5.223765,-5.223765
401254,2010,,3.786477,3.786477
401254,2011,,3.344833,3.344833
401254,2012,,0.8923269,0.8923269
401254,2013,,0.5314357,0.5314357
401254,2014,,1.744751,-0.8668542
401254,2015,,1.953805,-1.751212
401254,2016,,1.777671,0.3236178
401254,2017,,1.697906,1.716037
401254,2018,,1.790401,1.769894
401254,2019,,1.601768,1.604487
401254,2020,,1.494786,1.494678
401272,2005,,0.8475649,0.8475649
401272,2006,,3.807042,3.807042
401272,2007,0.008053,3.335074,3.335074
401272,2008,0.0075189,0.8056425,0.8056425
401272,2009,0.027,-5.223765,-5.223765
401272,2010,0.036247,3.786477,3.786477
401272,2011,,3.344833,3.344833
401272,2012,0.003901,0.8923269,0.8923269
401272,2013,0.002516,0.5314357,0.5314357
401272,2014,,1.744751,-0.8668542
401272,2015,,1.953805,-1.751212
401272,2016,,1.777671,0.3236178
401272,2017,,1.697906,1.716037
401272,2018,,1.790401,1.769894
401272,2019,,1.601768,1.604487
401272,2020,,1.494786,1.494678
401748,2005,,0.8475649,0.8475649
401748,2006,,3.807042,3.807042
401748,2007,,3.335074,3.335074
401748,2008,0.0050534,0.8056425,0.8056425
401748,2009,,-5.223765,-5.223765
401748,2010,,3.786477,3.786477
401748,2011,,3.344833,3.344833
401748,2012,,0.8923269,0.8923269
401748,2013,,0.5314357,0.5314357
401748,2014,,1.744751,-0.8668542
401748,2015,,1.953805,-1.751212
401748,2016,,1.777671,0.3236178
401748,2017,,1.697906,1.716037
401748,2018,,1.790401,1.769894
401748,2019,,1.601768,1.604487
401748,2020,,1.494786,1.494678
401749,2005,,0.8475649,0.8475649
401749,2006,,3.807042,3.807042
401749,2007,,3.335074,3.335074
401749,2008,0.0050534,0.8056425,0.8056425
401749,2009,0.0313,-5.223765,-5.223765
401749,2010,0.074472,3.786477,3.786477
401749,2011,0.04017,3.344833,3.344833
401749,2012,0.004828,0.8923269,0.8923269
401749,2013,0.006358,0.5314357,0.5314357
401749,2014,,1.744751,-0.8668542
401749,2015,,1.953805,-1.751212
401749,2016,,1.777671,0.3236178
401749,2017,,1.697906,1.716037
401749,2018,,1.790401,1.769894
401749,2019,,1.601768,1.604487
401749,2020,,1.494786,1.494678
401830,2005,,0.8475649,0.8475649
401830,2006,,3.807042,3.807042
401830,2007,,3.335074,3.335074
401830,2008,,0.8056425,0.8056425
401830,2009,,-5.223765,-5.223765
401830,2010,,3.786477,3.786477
