date,interest_rate_t,hpi_t,gdp_t
201404,9.875,107.83,5.1324641859
201405,9.875,110.9,4.0020226822
201406,9.875,113.56,2.8478963057
201407,9.875,116.69,2.2734796749
201408,9.875,120.03,0.9311289747
201409,9.875,122.89,0.4937148546
201410,8.25,123.64,0.2048486806
201411,8.25,125.92,1.4058411984
201412,8.25,132.76,1.4271840044
201501,8.25,138.62,2.2298677365
201502,8.25,142.18,2.0157056035
201503,10.38,144.84,1.6160639484
201504,10.38,149.7,1.9896913263
201505,10.38,155.77,3.1649317035
201506,10.38,161.27,4.2637069508
201507,8.75,167.91,4.320113768
201508,8.75,179.45,4.1266843515
201509,10.65,186.91,3.3705107906
201510,8.6,191.42,3.0694826904
201511,8.6,199.21,3.5563345819
201512,8.6,208.86,3.3469293746
201601,6.55,216.77,3.2787956953
201602,6,221.91,2.9871094449
201603,6,223.75,3.1211950891
201604,9.2,226.29,2.8991367167
201605,9.2,225.1,2.1513648831
201606,9.2,222.39,2.3617217155
201607,9.2,219.67,1.2291722496
201608,9.2,217.37,1.6929686703
201609,9.2,212.73,2.2742178006
201610,9.2,200.67,1.8506891663
201611,9.2,186.12,1.1041627602
201612,9.2,180.52,0.8368586627
201701,9.2,173.35,-0.314447747
201702,9.2,162.09,-2.805844087
201703,9.2,151.48,-3.516567987
201704,9.2,153.35,-4.146710947
201705,9.2,158.77,-3.339549297
201706,9.2,158.16,-0.241080652
201707,9.2,156.21,1.5859655122
201708,9.2,161.06,2.6824968062
201709,9.2,161,3.0294986398
201710,9.2,156.04,2.6941105489
201711,9.2,150.91,1.8755149375
201712,9.2,154.87,1.6391549258
201801,9.2,155.61,1.1759090317
201802,9.2,149.58,1.6681823188
201803,9.2,146.45,2.7159028846
201804,9.25,154.94,2.4566338212
201805,10.5,158.94,2.3664098989
201806,8.625,158.6,1.2690442628
201807,10.5,161.13,1.0810494182
201808,10.5,173.17,0.8929961554
201809,10.5,179.97,1.5073587076
201810,10.5,180.07,2.4222748689
201811,10.5,181.43,1.7170529058
201812,10.5,187.2,2.5560517331
201901,10.5,188.37,2.8685938252
201902,10.5,187.65,2.4436475652
201903,10.5,189.82,2.8363581757
